class,method,descriptor,tier,orig_insn_count,recomp_insn_count,insn_diff,category,description,first_diff_idx,orig_context,recomp_context
zombie/core/raknet/VoiceManager$3,call,(Lse/krka/kahlua/vm/LuaCallFrame;I)I,STRUCTURAL,49,49,0,BRANCH_INV_RESTRUCTURED,1 inv + 38 other opcode diffs (block reorder),1,   0: getstatic #13 | >>>3: ifne 12 |    6: getstatic #19 |    9: ifeq 30,   0: getstatic #13 | >>>3: ifne 84 |    6: getstatic #19 |    9: ifne 84
zombie/core/skinnedmodel/DeadBodyAtlas,toBodyAtlas,(Lzombie/core/skinnedmodel/DeadBodyAtlas$RenderJob;)V,SORTED_MULTISET,279,281,2,BRANCH_INV_RESTRUCTURED,2 inv + 16 other opcode diffs (block reorder),3,   3: invokestatic #593 |    6: aload_0  | >>>7: getfield #570 |    10: invokevirtual #565 |    13: aload_1 ,   3: invokestatic #593 |    6: aload_0  | >>>7: getfield #572 |    10: invokevirtual #567 |    13: aload_1 
zombie/core/skinnedmodel/HelperFunctions,returnMatrix,(Lorg/lwjgl/util/vector/Matrix4f;)V,STRUCTURAL,26,25,-1,ORIG_EXTRA_INSN,"Original has extra: ifeq, goto, invokestatic",4,   4: iconst_1  |    5: invokevirtual #28 | >>>8: ifeq 53 |    11: getstatic #34 |    14: ifne 35,   4: iconst_1  |    5: invokevirtual #28 | >>>8: ifne 17 |    11: invokestatic #34 |    14: goto 0
zombie/core/skinnedmodel/HelperFunctions,getMatrix,()Lorg/lwjgl/util/vector/Matrix4f;,STRUCTURAL,27,25,-2,ORIG_EXTRA_INSN,"Original has extra: ifeq, astore_0, astore_0",6,   6: iconst_1  |    7: invokevirtual #28 | >>>10: ifeq 53 |    13: getstatic #38 |    16: invokevirtual #64,   6: iconst_1  |    7: invokevirtual #28 | >>>10: ifne 19 |    13: invokestatic #34 |    16: goto 2
zombie/core/skinnedmodel/HelperFunctions,getVector3f,()Lorg/lwjgl/util/vector/Vector3f;,STRUCTURAL,15,15,0,BRANCH_INV_RESTRUCTURED,1 inv + 10 other opcode diffs (block reorder),4,   4: iconst_1  |    5: invokevirtual #28 | >>>8: ifeq 30 |    11: getstatic #83 |    14: invokevirtual #87,   4: iconst_1  |    5: invokevirtual #28 | >>>8: ifne 17 |    11: invokestatic #34 |    14: goto 0
zombie/core/skinnedmodel/HelperFunctions,returnVector3f,(Lorg/lwjgl/util/vector/Vector3f;)V,STRUCTURAL,14,14,0,BRANCH_INV_RESTRUCTURED,1 inv + 8 other opcode diffs (block reorder),4,   4: iconst_1  |    5: invokevirtual #28 | >>>8: ifeq 26 |    11: getstatic #83 |    14: aload_0 ,   4: iconst_1  |    5: invokevirtual #28 | >>>8: ifne 17 |    11: invokestatic #34 |    14: goto 0
zombie/core/skinnedmodel/HelperFunctions,CreateFromQuaternionPositionScale,(Lorg/lwjgl/util/vector/Vector3f;Lorg/lwjgl/util/vector/Quaternion;Lorg/lwjgl/util/vector/Vector3f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;Lorg/lwjgl/util/vector/Matrix4f;)V,STRUCTURAL,38,32,-6,LARGE_STRUCTURAL_DIFF_-6,"Major structural diff=-6, similarity=84.2%",1,   0: aload 6 | >>>2: astore 7 |    4: aload 4 |    6: astore 8,   0: aload 6 | >>>2: invokevirtual #102 |    5: pop  |    6: aload 6
zombie/core/skinnedmodel/ModelManager,getClosestThreeLights,(Lzombie/iso/IsoMovingObject;[Lzombie/iso/IsoLightSource;)V,STRUCTURAL,226,228,2,CONST_POOL_DIFF,95 constant pool refs differ,1,   0: aload_0  | >>>1: getfield #109 |    4: invokevirtual #1245 |    7: aload_0 ,   0: aload_0  | >>>1: getfield #107 |    4: invokevirtual #1243 |    7: aload_0 
zombie/core/skinnedmodel/ModelManager,getLoadedModel,(Ljava/lang/String;)Lzombie/core/skinnedmodel/model/Model;,STRUCTURAL,176,174,-2,BRANCH_INV_RESTRUCTURED,1 inv + 3 other opcode diffs (block reorder),0,>>>0: getstatic #190 |    3: aload_1  |    4: invokevirtual #758,>>>0: getstatic #186 |    3: aload_1  |    4: invokevirtual #756
zombie/core/skinnedmodel/ModelManager,initAnimationMeshes,(Z)V,STRUCTURAL,100,101,1,ORIG_EXTRA_2,"Original has 2 extra insns: {'invokevirtual': 1, 'astore_2': 1, 'aload_2': 2, 'astore_3': 1, 'aload_3': 2}",0,>>>0: getstatic #190 |    3: invokevirtual #1930 |    6: astore_2 ,>>>0: getstatic #186 |    3: invokevirtual #1928 |    6: astore_2 
zombie/core/skinnedmodel/advancedanimation/AnimLayer,updateNewNodeTransitionsInternal,()V,STRUCTURAL,127,126,-1,ORIG_EXTRA_INSN,"Original has extra: ifne, goto",11,   17: iload_2  |    18: iload_3  | >>>19: if_icmpge 326 |    22: aload_0  |    23: getfield #27,   17: iload_2  |    18: iload_3  | >>>19: if_icmpge 323 |    22: aload_0  |    23: getfield #27
zombie/core/skinnedmodel/advancedanimation/AnimLayer,<clinit>,()V,SORTED_MULTISET,33,41,8,OPCODE_DIFF,29 opcode differences: #4 new->getstatic; #5 dup->fconst_1; #6 invokespecial->putfield,4,   4: invokespecial #819 |    7: putstatic #74 | >>>10: getstatic #74 |    13: fconst_1  |    14: putfield #405,   4: invokespecial #819 |    7: putstatic #74 | >>>10: new #133 |    13: dup  |    14: invokespecial #819
zombie/core/skinnedmodel/advancedanimation/AnimatedModel,setModelData,(Lzombie/core/skinnedmodel/visual/HumanVisual;Lzombie/core/skinnedmodel/visual/ItemVisuals;)V,SORTED_MULTISET,210,213,3,RECOMP_EXTRA_INSN,"Recomp has extra: astore, aload, istore_3",1,   0: aload_0  | >>>1: getfield #72 |    4: astore_3  |    5: aload_0 ,   0: aload_0  | >>>1: getfield #70 |    4: astore 4 |    6: aload_0 
zombie/core/skinnedmodel/advancedanimation/AnimatedModel,DrawChar,(Lzombie/core/skinnedmodel/advancedanimation/AnimatedModel$AnimatedModelInstanceRenderData;)V,SORTED_MULTISET,600,591,-9,BLOCK_REORDER,"Likely block reorder (sim=97.2%), added={'goto': 2, 'ifeq': 2, 'ifnull': 1}, removed={'getfield': 3, 'aload_2': 3, 'ifnonnull': 1, 'return': 5, 'ifne': 2, 'pop': 3}",1,   0: aload_1  | >>>1: getfield #918 |    4: astore_2  |    5: aload_1 ,   0: aload_1  | >>>1: getfield #916 |    4: astore_2  |    5: aload_1 
zombie/core/skinnedmodel/advancedanimation/BlendInfo$BlendInstance,update,()V,STRUCTURAL,107,105,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'59': 1, 'goto': 2, '179': 1}",7,   7: getfield #49 |    10: fcmpg  | >>>11: ifge 123 |    14: fconst_1  |    15: fstore_2 ,   7: getfield #49 |    10: fcmpg  | >>>11: ifge 120 |    14: fconst_1  |    15: fstore_2 
zombie/core/skinnedmodel/animation/AnimationPlayer,updateLayerBlendWeightings,()V,SORTED_MULTISET,295,297,2,COUNT_DIFF_+3,"Instruction count diff=+3, goto diff=-1, return diff=+0",2,   0: aload_0  |    1: getfield #132 | >>>4: invokevirtual #881 |    7: astore_1  |    8: aload_1 ,   0: aload_0  |    1: getfield #132 | >>>4: invokevirtual #883 |    7: astore_1  |    8: aload_1 
zombie/core/skinnedmodel/animation/SoftwareSkinnedModelAnim,<init>,([Lzombie/core/skinnedmodel/animation/StaticAnimation;Lzombie/core/skinnedmodel/model/SoftwareModelMesh;Lzombie/core/skinnedmodel/model/SkinningData;)V,STRUCTURAL,443,441,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload': 1, 'astore': 1}",1,   0: aload_0  | >>>1: invokespecial #64 |    4: aload_0  |    5: new #70,   0: aload_0  | >>>1: invokespecial #58 |    4: aload_0  |    5: new #64
zombie/core/skinnedmodel/animation/StaticAnimation,getPose,()V,STRUCTURAL,109,108,-1,ORIG_EXTRA_INSN,"Original has extra: goto, aload_0, dup",11,   17: aload_1  |    18: arraylength  | >>>19: if_icmpge 209 |    22: aload_1  |    23: aload_0 ,   17: aload_1  |    18: arraylength  | >>>19: if_icmpge 206 |    22: aload_1  |    23: aload_0 
zombie/core/skinnedmodel/animation/debug/GenericNameWeightRecordingFrame,logWeight,(Ljava/lang/String;IF)V,SORTED_MULTISET,15,16,1,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aload_0': 1, 'getfield': 1, 'iload': 1}",8,   9: getfield #9 |    12: iload 4 | >>>14: dup2  |    15: faload  |    16: fload_3 ,   9: getfield #9 |    12: iload 4 | >>>14: aload_0  |    15: getfield #9 |    18: iload 4
zombie/core/skinnedmodel/animation/debug/GenericNameWeightRecordingFrame,getOrCreateColumn,(Ljava/lang/String;I)I,STRUCTURAL,68,68,0,ORIG_EXTRA_INSN,"Original has extra: goto, iload, ireturn",64,"   104: fcmpl  |    105: ifne 111 | >>>108: goto 117 |    111: iinc 6, 1 |    114: goto 61","   104: fcmpl  |    105: ifne 111 | >>>108: iload 5 |    110: ireturn  |    111: iinc 6, 1"
zombie/core/skinnedmodel/model/CharacterMask$Part,getBloodBodyPartTypes,()[Lzombie/characterTextures/BloodBodyPartType;,STRUCTURAL,146,145,-1,ORIG_EXTRA_INSN,"Original has extra: 288, 299, 310",26,   10: 255  |    11: 274  | >>>12: 285  |    13: 288  |    14: 299 ,   10: 255  |    11: 274  | >>>12: 282  |    13: 285  |    14: 296 
zombie/core/skinnedmodel/model/ModelInstance$PlayerData,completeFrameLightsForFrame,()V,STRUCTURAL,463,463,0,ORIG_EXTRA_INSN,"Original has extra: if_icmpeq, if_icmpeq, goto",24,   36: getfield #7 |    39: invokevirtual #54 | >>>42: if_icmpge 668 |    45: aload_0  |    46: getfield #7,   36: getfield #7 |    39: invokevirtual #54 | >>>42: if_icmpge 665 |    45: aload_0  |    46: getfield #7
zombie/core/skinnedmodel/model/ModelInstance$PlayerData,updateLights,(Lzombie/characters/IsoGameCharacter;Z)V,SORTED_MULTISET,623,624,1,BRANCH_INV_RESTRUCTURED,1 inv + 53 other opcode diffs (block reorder),3,   1: invokevirtual #180 |    4: aload_1  | >>>5: ifnonnull 9 |    8: return  |    9: aload_1 ,   1: invokevirtual #180 |    4: aload_1  | >>>5: ifnonnull 11 |    8: goto 1292 |    11: aload_1 
zombie/core/skinnedmodel/model/ModelInstanceTextureCreator,init,(Lzombie/core/skinnedmodel/visual/BaseVisual;Lzombie/core/skinnedmodel/visual/ItemVisuals;Lzombie/core/skinnedmodel/model/ModelInstance;)V,STRUCTURAL,15,16,1,RECOMP_EXTRA_INSN,"Recomp has extra: goto, return",1,   0: aload_1  | >>>1: instanceof #118 |    4: ifeq 18 |    7: aload_0 ,   0: aload_1  | >>>1: instanceof #116 |    4: ifeq 20 |    7: aload_0 
zombie/core/skinnedmodel/model/ModelLoader,loadTxt,(Ljava/lang/String;ZZLzombie/core/skinnedmodel/model/SkinningData;)Lzombie/core/skinnedmodel/model/ModelTxt;,SORTED_MULTISET,951,952,1,COUNT_DIFF_+3,"Instruction count diff=+3, goto diff=+3, return diff=+0",23,   43: getstatic #38 |    46: bipush 12 | >>>48: invokevirtual #46 |    51: aload 6 |    53: iconst_1 ,   43: getstatic #38 |    46: bipush 12 | >>>48: invokevirtual #44 |    51: aload 6 |    53: iconst_1 
zombie/core/skinnedmodel/model/ModelOutlines,renderTexture,(Lzombie/interfaces/ITexture;IIII)V,SORTED_MULTISET,81,83,2,OPCODE_DIFF,11 opcode differences: #35 istore->dup; #36 iconst_0->istore_3; #37 istore->istore_2,1,"   0: aload_1  | >>>1: invokeinterface #319,  1 |    6: iload_2  |    7: i2f ","   0: aload_1  | >>>1: invokeinterface #317,  1 |    6: iload_2  |    7: i2f "
zombie/core/skinnedmodel/model/VertexBufferObject,Draw,(Lzombie/core/skinnedmodel/model/VertexBufferObject$Vbo;Lzombie/core/skinnedmodel/model/VertexBufferObject$VertexFormat;Lzombie/core/skinnedmodel/shader/Shader;I)V,STRUCTURAL,146,145,-1,ORIG_EXTRA_2,"Original has 2 extra insns: {'ifeq': 1, 'return': 1, '247': 1, '284': 1, 'goto': 1}",3,   1: ifnonnull 5 |    4: return  | >>>5: getstatic #228 |    8: getfield #234 |    11: invokevirtual #238,   1: ifnonnull 5 |    4: return  | >>>5: getstatic #224 |    8: getfield #230 |    11: invokevirtual #234
zombie/core/skinnedmodel/population/ClothingItemAssetManager,onFileTaskFinished,(Lzombie/core/skinnedmodel/population/ClothingItem;Ljava/lang/Object;)V,STRUCTURAL,89,87,-2,ORIG_EXTRA_2,"Original has 2 extra insns: {'aload_1': 1, 'astore_3': 1, 'astore': 1, 'aload_0': 4, 'aload': 14, 'aload_3': 2, 'getfield': 1}",2,   0: aload_2  |    1: instanceof #25 | >>>4: ifeq 185 |    7: aload_1  |    8: astore_3 ,   0: aload_2  |    1: instanceof #25 | >>>4: ifeq 168 |    7: aload_2  |    8: checkcast #25
zombie/core/skinnedmodel/population/Outfit,findHat,()Lzombie/core/skinnedmodel/population/ClothingItemReference;,STRUCTURAL,21,22,1,BRANCH_TARGET_DIFF,2 branch targets differ: #15 goto 8 vs 61; #21 goto 8 vs 61,15,   31: getfield #216 |    34: ifne 40 | >>>37: goto 8 |    40: aload_2  |    41: invokevirtual #253,   31: getfield #216 |    34: ifne 40 | >>>37: goto 61 |    40: aload_2  |    41: invokevirtual #253
zombie/core/skinnedmodel/population/OutfitManager,debugOutfit,(Lzombie/core/skinnedmodel/population/Outfit;)V,STRUCTURAL,61,62,1,ORIG_EXTRA_INSN,"Original has extra: ifeq, goto",8,"   10: aload_3  |    11: invokeinterface #85,  1 | >>>16: ifeq 172 |    19: aload_3  |    20: invokeinterface #91,  1","   10: aload_3  |    11: invokeinterface #85,  1 | >>>16: ifeq 169 |    19: aload_3  |    20: invokeinterface #91,  1"
zombie/core/skinnedmodel/population/PopTemplateManager,isItemModelHidden,(Lzombie/characters/WornItems/BodyLocationGroup;Lzombie/core/skinnedmodel/visual/ItemVisuals;Lzombie/core/skinnedmodel/visual/ItemVisual;)Z,STRUCTURAL,46,45,-1,OPCODE_DIFF,16 opcode differences: #21 checkcast->aload_3; #22 aload_3->if_acmpne; #23 if_acmpne->goto,21,   38: iload 5 |    40: invokevirtual #326 | >>>43: aload_3  |    44: if_acmpne 50 |    47: goto 103,   38: iload 5 |    40: invokevirtual #326 | >>>43: checkcast #119 |    46: aload_3  |    47: if_acmpne 53
zombie/core/textures/ImageData,setData,(Ljava/awt/image/Raster;)V,SORTED_MULTISET,126,126,0,OPCODE_DIFF,18 opcode differences: #89 iload->iinc; #90 iaload->iload; #91 i2b->iaload,1,   0: aload_1  | >>>1: ifnonnull 15 |    4: new #149 |    7: dup ,   0: aload_1  | >>>1: ifnonnull 17 |    4: new #147 |    7: dup 
zombie/core/textures/ImageData,setData,(Lzombie/core/textures/Pcx;)V,SORTED_MULTISET,105,105,0,OPCODE_DIFF,14 opcode differences: #71 iload->iinc; #72 baload->iload; #73 invokevirtual->baload,2,   0: aload_0  |    1: aload_1  | >>>2: getfield #159 |    5: putfield #46 |    8: aload_0 ,   0: aload_0  |    1: aload_1  | >>>2: getfield #157 |    5: putfield #46 |    8: aload_0 
zombie/core/textures/MultiTextureFBO2,update,()V,SORTED_MULTISET,220,222,2,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+0, return diff=+0",0,>>>0: invokestatic #114 |    3: istore_1  |    4: aload_0 ,>>>0: invokestatic #112 |    3: istore_1  |    4: aload_0 
zombie/core/textures/MultiTextureFBO2,test,()Z,STRUCTURAL,20,18,-2,ORIG_EXTRA_INSN,"Original has extra: goto, ireturn, iconst_1",6,   6: invokevirtual #152 |    9: pop  | >>>10: goto 33 |    13: astore_1  |    14: getstatic #342,   6: invokevirtual #152 |    9: pop  | >>>10: iconst_1  |    11: ireturn  |    12: astore_1 
zombie/core/textures/PNGDecoder,<init>,(Ljava/io/InputStream;Z)V,SORTED_MULTISET,90,89,-1,ORIG_EXTRA_INSN,"Original has extra: 147, 154, goto",58,   109: lookupswitch { |    1229209940: 144  | >>>1347179589: 147  |    1951551059: 154  |    144: goto 165,   109: lookupswitch { |    1229209940: 144  | >>>1347179589: 193  |    1951551059: 200  |    144: aload_0 
zombie/core/textures/PNGDecoder,readtRNS,()V,STRUCTURAL,64,63,-1,ORIG_EXTRA_INSN,"Original has extra: 148, goto",1,   0: aload_0  | >>>1: getfield #79 |    4: tableswitch { |    0: 36 ,   0: aload_0  | >>>1: getfield #73 |    4: tableswitch { |    0: 36 
zombie/core/textures/Pcx,loadPCX,(Ljava/net/URL;)I,STRUCTURAL,294,293,-1,BLOCK_REORDER,"Likely block reorder (sim=95.1%), added={'astore_2': 3, 'aload_2': 11, 'istore_3': 3, 'iload_3': 16, 'goto': 2}, removed={'astore': 1, 'aload': 8, 'istore': 1, 'iload': 2, 'astore_3': 6, 'aload_3': 7, 'istore_2': 2, 'iload_2': 14}",2,   0: aload_1  |    1: invokevirtual #36 | >>>4: astore 12 |    6: aload 12 |    8: invokevirtual #42,   0: aload_1  |    1: invokevirtual #36 | >>>4: astore_2  |    5: aload_2  |    6: invokevirtual #42
zombie/core/textures/Pcx,loadPCXminusPal,(Ljava/lang/String;)I,STRUCTURAL,363,362,-1,LARGE_STRUCTURAL_DIFF_-5,"Major structural diff=-5, similarity=94.8%",104,   160: aload_1  |    161: invokevirtual #126 | >>>164: astore 12 |    166: aload 12 |    168: ifnonnull 173,   160: aload_1  |    161: invokevirtual #126 | >>>164: astore_2  |    165: aload_2  |    166: ifnonnull 171
zombie/core/textures/Pcx,loadPCXpal,(Ljava/lang/String;)I,STRUCTURAL,156,152,-4,COUNT_DIFF_-4,"Instruction count diff=-4, goto diff=+0, return diff=+0",4,   5: aload_1  |    6: invokevirtual #126 | >>>9: astore 12 |    11: aload 12 |    13: ifnonnull 18,   5: aload_1  |    6: invokevirtual #126 | >>>9: astore_2  |    10: aload_2  |    11: ifnonnull 16
zombie/core/textures/Texture,getSharedTextureInternal,(Ljava/lang/String;I)Lzombie/core/textures/Texture;,STRUCTURAL,208,210,2,OPCODE_DIFF,3 opcode differences: #27 aload_0->aload_3; #31 aload_0->aload_3; #35 aload_0->aload_3,0,>>>0: getstatic #413 |    3: ifeq 14 |    6: invokestatic #418,>>>0: getstatic #411 |    3: ifeq 14 |    6: invokestatic #416
zombie/core/textures/Texture,renderwallnw,(FFFFIIIIII)V,SORTED_MULTISET,221,225,4,OPCODE_DIFF,4 opcode differences: #53 istore->dup; #54 ldc_w->istore; #150 istore->dup,0,>>>0: ldc_w #797 |    3: putstatic #779 |    6: ldc_w #797,>>>0: ldc_w #795 |    3: putstatic #777 |    6: ldc_w #795
zombie/core/textures/Texture,renderstrip,(IIIIFFFFLjava/util/function/Consumer;)V,STRUCTURAL,134,128,-6,BLOCK_REORDER,"Likely block reorder (sim=97.0%), added={}, removed={'fload': 3, 'fstore': 3}",54,   86: fstore 8 |    88: aload_0  | >>>89: invokevirtual #848 |    92: fstore 10 |    94: aload_0 ,   86: fstore 8 |    88: aload_0  | >>>89: invokevirtual #846 |    92: fstore 10 |    94: aload_0 
zombie/core/textures/Texture,split2D,([I[I)[[Lzombie/core/textures/Texture;,SORTED_MULTISET,93,97,4,OPCODE_DIFF,4 opcode differences: #13 fstore->dup; #14 fconst_0->fstore; #15 fstore->dup,10,"   12: aload_2  |    13: arraylength  | >>>14: multianewarray #944,  2 |    18: astore_3  |    19: fconst_0 ","   12: aload_2  |    13: arraylength  | >>>14: multianewarray #942,  2 |    18: astore_3  |    19: fconst_0 "
zombie/core/textures/TextureCombiner,createTexture,(II)Lzombie/core/textures/Texture;,SORTED_MULTISET,88,90,2,OPCODE_DIFF,4 opcode differences: #81 iconst_0->sipush; #82 putstatic->iconst_0; #83 sipush->dup,3,   1: iload_1  |    2: iload_2  | >>>3: invokevirtual #153 |    6: astore_3  |    7: aload_3 ,   1: iload_1  |    2: iload_2  | >>>3: invokevirtual #151 |    6: astore_3  |    7: aload_3 
zombie/core/textures/TextureCombiner,combine,(Ljava/util/ArrayList;)Lzombie/core/textures/Texture;,SORTED_MULTISET,375,377,2,OPCODE_DIFF,4 opcode differences: #370 iconst_0->sipush; #371 putstatic->iconst_0; #372 sipush->dup,0,>>>0: ldc #218 |    2: iconst_0  |    3: anewarray #4,>>>0: ldc #214 |    2: iconst_0  |    3: anewarray #2
zombie/core/textures/TextureDraw,run,()V,SORTED_MULTISET,440,439,-1,ORIG_EXTRA_INSN,"Original has extra: 1116, 1130, 1140",35,   28: 1067  |    29: 1094  | >>>30: 1113  |    31: 1116  |    32: 1130 ,   28: 1067  |    29: 1094  | >>>30: 1110  |    31: 1113  |    32: 1127 
zombie/core/textures/TextureFBO,init,(Lzombie/interfaces/ITexture;Z)V,SORTED_MULTISET,21,29,8,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+0, return diff=+0",5,   5: aload_1  |    6: iload_2  | >>>7: invokevirtual #88 |    10: invokestatic #45 |    13: astore 4,   5: aload_1  |    6: iload_2  | >>>7: invokevirtual #86 |    10: invokestatic #45 |    13: astore 4
zombie/core/textures/TextureFBO,initInternal,(Lzombie/interfaces/ITexture;Z)V,SORTED_MULTISET,391,393,2,OPCODE_DIFF,4 opcode differences: #95 iconst_0->sipush; #96 putstatic->iconst_0; #97 sipush->dup,2,   0: invokestatic #45 |    3: astore_3  | >>>4: ldc #103 |    6: iconst_0  |    7: anewarray #67,   0: invokestatic #45 |    3: astore_3  | >>>4: ldc #101 |    6: iconst_0  |    7: anewarray #65
zombie/core/textures/TextureFBO,setTexture,(Lzombie/core/textures/Texture;)V,SORTED_MULTISET,17,21,4,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'istore': 1, 'aload_3': 1, 'iload': 1, 'iload_2': 1}",11,"   19: dup  |    20: putstatic #7 | >>>23: invokeinterface #91,  3 |    28: aload_0  |    29: aload_1 ","   19: dup  |    20: putstatic #7 | >>>23: invokeinterface #89,  3 |    28: aload_0  |    29: aload_1 "
zombie/core/textures/TextureFBO,reset,()V,SORTED_MULTISET,10,14,4,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'istore_1': 1, 'aload_0': 1, 'iload_1': 1, 'iconst_0': 1}",0,>>>0: getstatic #337 |    3: invokevirtual #367 |    6: getstatic #7,>>>0: getstatic #335 |    3: invokevirtual #365 |    6: getstatic #7
zombie/core/textures/TextureID,getData,()Lzombie/core/utils/WrappedBuffer;,SORTED_MULTISET,24,26,2,OPCODE_DIFF,4 opcode differences: #19 iconst_0->sipush; #20 putstatic->iconst_0; #21 sipush->dup,1,   0: aload_0  | >>>1: invokevirtual #374 |    4: pop  |    5: aload_0 ,   0: aload_0  | >>>1: invokevirtual #370 |    4: pop  |    5: aload_0 
zombie/core/utils/BooleanGrid,setValue,(IIZ)V,SORTED_MULTISET,52,54,2,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+1, return diff=-1",3,   1: aload_0  |    2: getfield #7 | >>>5: if_icmpge 24 |    8: iload_1  |    9: iflt 24,   1: aload_0  |    2: getfield #7 | >>>5: if_icmpge 100 |    8: iload_1  |    9: iflt 100
zombie/core/utils/ExpandableBooleanList,setValue,(IZ)V,SORTED_MULTISET,77,79,2,COUNT_DIFF_+4,"Instruction count diff=+4, goto diff=+0, return diff=+0",59,   93: istore 4 |    95: iload_2  | >>>96: ifeq 113 |    99: aload_0  |    100: getfield #16,   93: istore 4 |    95: iload_2  | >>>96: ifeq 117 |    99: aload_0  |    100: getfield #16
zombie/core/utils/FibonacciHeap,dequeueMin,()Lzombie/core/utils/FibonacciHeap$Entry;,SORTED_MULTISET,211,210,-1,RECOMP_EXTRA_INSN,"Recomp has extra: checkcast, if_icmpge, checkcast",86,"   177: getfield #26 |    180: invokeinterface #71,  1 | >>>185: ifne 202 |    188: aload_0  |    189: getfield #26","   177: getfield #26 |    180: invokeinterface #71,  1 | >>>185: ifne 205 |    188: aload_0  |    189: getfield #26"
zombie/core/utils/HashMap$Bucket,put,(Ljava/lang/Object;Ljava/lang/Object;)V,STRUCTURAL,74,75,1,RECOMP_EXTRA_INSN,"Recomp has extra: goto, return",2,   0: aload_0  |    1: getfield #7 | >>>4: ifnonnull 36 |    7: aload_0  |    8: invokevirtual #13,   0: aload_0  |    1: getfield #7 | >>>4: ifnonnull 38 |    7: aload_0  |    8: invokevirtual #13
zombie/core/znet/SteamUtils,isValidSteamID,(Ljava/lang/String;)Z,SORTED_MULTISET,19,17,-2,ORIG_EXTRA_INSN,"Original has extra: goto, ireturn, iconst_1",14,   26: iconst_0  |    27: ireturn  | >>>28: goto 34 |    31: astore_1  |    32: iconst_0 ,   26: iconst_0  |    27: ireturn  | >>>28: iconst_1  |    29: ireturn  |    30: astore_1 
zombie/core/znet/SteamUtils,clientInitiateConnectionCallback,(J)I,STRUCTURAL,21,21,0,BRANCH_INV_RESTRUCTURED,1 inv + 2 other opcode diffs (block reorder),5,   9: lload_0  |    10: invokevirtual #303 | >>>13: ifne 26 |    16: getstatic #297 |    19: lload_0 ,   9: lload_0  |    10: invokevirtual #303 | >>>13: ifne 30 |    16: getstatic #297 |    19: lload_0 
zombie/core/znet/SteamWorkshopItem,getAllowedTags,()Ljava/util/ArrayList;,SORTED_MULTISET,59,61,2,RECOMP_EXTRA_2,"Recomp has 2 extra insns: {'aconst_null': 1, 'astore_2': 3, 'astore_3': 2, 'invokespecial': 1, 'astore': 2, 'aload': 5, 'aload_2': 3, 'aload_3': 3}",8,   13: invokevirtual #94 |    16: astore_1  | >>>17: new #98 |    20: dup  |    21: aload_1 ,   13: invokevirtual #94 |    16: astore_1  | >>>17: aconst_null  |    18: astore_2  |    19: new #98
zombie/core/znet/SteamWorkshopItem,validateFileTypes,(Ljava/nio/file/Path;)Ljava/lang/String;,STRUCTURAL,95,93,-2,COUNT_DIFF_+3,"Instruction count diff=+3, goto diff=-1, return diff=+0",8,"   12: aload_3  |    13: invokeinterface #234,  1 | >>>18: ifeq 214 |    21: aload_3  |    22: invokeinterface #239,  1","   12: aload_3  |    13: invokeinterface #234,  1 | >>>18: ifeq 222 |    21: aload_3  |    22: invokeinterface #239,  1"
zombie/core/znet/SteamWorkshopItem,validateMediaFolder,(Ljava/nio/file/Path;)Ljava/lang/String;,STRUCTURAL,54,52,-2,RECOMP_EXTRA_INSN,"Recomp has extra: aload, astore, aconst_null",8,"   12: aload_3  |    13: invokeinterface #234,  1 | >>>18: ifeq 98 |    21: aload_3  |    22: invokeinterface #239,  1","   12: aload_3  |    13: invokeinterface #234,  1 | >>>18: ifeq 102 |    21: aload_3  |    22: invokeinterface #239,  1"
zombie/core/znet/SteamWorkshopItem,validatePreviewImage,(Ljava/nio/file/Path;)Ljava/lang/String;,STRUCTURAL,86,84,-2,RECOMP_EXTRA_INSN,"Recomp has extra: astore, aload, aconst_null",46,   95: invokevirtual #387 |    98: sipush 256 | >>>101: if_icmpeq 120 |    104: ldc_w #390 |    107: astore 5,   95: invokevirtual #387 |    98: sipush 256 | >>>101: if_icmpeq 124 |    104: ldc_w #390 |    107: astore 5
zombie/core/znet/SteamWorkshopItem,writeWorkshopTxt,()Z,STRUCTURAL,117,115,-2,ORIG_EXTRA_INSN,"Original has extra: goto, ireturn, iconst_1",29,   57: getfield #64 |    60: ifnonnull 68 | >>>63: ldc #9 |    65: goto 72 |    68: aload_0 ,   57: getfield #64 |    60: ifnonnull 68 | >>>63: ldc #7 |    65: goto 72 |    68: aload_0 
